validation_datetime,serial,loc_id,ticket_class,user_category
2023-01-14 15:37:00,-3604948256,5024,75,Occasional Travellers
2023-01-13 18:00:00,-3604943996,5039,75,Occasional Travellers
2023-01-13 03:00:00,-3604940324,5043,Y-STUD,Students
2023-01-13 02:01:00,-3604937725,5132,Y-STUD,Students
2023-01-14 18:00:00,-3604917015,5001,M-RES,Residents
2023-01-14 14:48:00,-3604913477,5042,75,Occasional Travellers
2023-01-14 22:00:00,-3604911297,5113,75,Occasional Travellers
2023-01-14 23:00:00,-2855021390,5001,75,Occasional Travellers
2023-01-13 13:29:00,-2854995131,5040,Y-RES,Residents
2023-01-14 06:49:00,-2854978039,5108,M-STUD,Students
2023-01-14 11:16:00,-2854968300,-1,75,Occasional Travellers
2023-01-13 15:05:00,-2854960440,5040,M-RES,Residents
2023-01-13 13:33:00,-2854855358,-1,M-RES,Residents
2023-01-13 06:00:00,-2854841034,5133,M-RES,Residents
2023-01-14 09:02:00,-2854828689,5032,75,Occasional Travellers
2023-01-14 19:57:00,-2854820144,-1,75,Occasional Travellers
2023-01-13 07:14:00,-2854818424,5031,Y-STUD,Students
2023-01-13 13:17:00,-2854805633,5043,Y-STUD,Students
2023-01-14 00:00:00,-2854801019,5049,M-RES,Residents
2023-01-14 09:17:00,-2854798057,-1,RET,Retirees
2023-01-13 15:38:00,-2854792789,-2,75,Occasional Travellers
2023-01-13 16:04:00,-2850037922,5132,75,Occasional Travellers
2023-01-14 06:00:00,-2824288506,5043,Y-RES,Residents
2023-01-13 11:22:00,-2824287395,5037,75,Occasional Travellers
2023-01-14 12:55:00,-2824286623,5094,Y-RES,Residents
2023-01-13 10:00:00,-2824285951,5005,RET,Retirees
2023-01-13 19:08:00,-2824281973,5039,Y-RES,Residents
2023-01-14 14:50:00,-2824278898,-2,75,Occasional Travellers
2023-01-13 18:24:00,-2824277084,5072,M-RES,Residents
2023-01-14 22:38:00,-2824274481,5013,75,Occasional Travellers
2023-01-13 10:42:00,-2824270598,-5,75,Occasional Travellers
2023-01-13 15:20:00,-2824257163,-5,M-RES,Residents
2023-01-13 04:01:00,-2824232094,5036,M-RES,Residents
2023-01-14 18:20:00,-2824232066,5114,M-RES,Residents
2023-01-14 16:47:00,-2824223312,-1,75,Occasional Travellers
2023-01-13 15:26:00,-2824216948,5043,M-STUD,Students
2023-01-13 09:04:00,-2824216238,5042,M-RES,Residents
2023-01-13 16:32:00,-2824213357,-1,M-RES,Residents
2023-01-13 06:49:00,-2824209656,5001,Y-RES,Residents
2023-01-13 17:40:00,-2821834982,5005,Y-RES,Residents
2023-01-13 08:47:00,-2821834261,5029,75,Occasional Travellers
2023-01-13 18:02:00,-2821816120,5026,75,Occasional Travellers
2023-01-14 13:00:00,-2821815492,5151,75,Occasional Travellers
2023-01-14 16:11:00,-2821811725,5094,75,Occasional Travellers
2023-01-14 12:06:00,-2821803165,5069,75,Occasional Travellers
2023-01-14 11:03:00,-2821802911,5069,75,Occasional Travellers
2023-01-14 12:00:00,-2821801636,5081,75,Occasional Travellers
2023-01-14 13:57:00,-2821801065,5083,75,Occasional Travellers
2023-01-13 10:26:00,-2821799396,5043,Y-RES,Residents
2023-01-13 21:17:00,-2821793897,5013,M-RES,Residents
2023-01-13 08:00:00,-2821780727,5031,M-RES,Residents
2023-01-13 10:50:00,-2821775794,5094,75,Occasional Travellers
2023-01-14 10:36:00,-2821772539,-1,75,Occasional Travellers
2023-01-13 16:50:00,-2821771365,-1,M-RES,Residents
2023-01-13 10:51:00,-2821767747,5013,Y-RES,Residents
2023-01-14 15:12:00,-2821766912,5003,Y-STUD,Students
2023-01-14 13:10:00,-2821758750,5028,75,Occasional Travellers
2023-01-14 10:36:00,-2821752653,5005,75,Occasional Travellers
2023-01-13 11:00:00,-2821750782,5028,M-RES,Residents
2023-01-14 10:00:00,-2821750290,5041,Y-RES,Residents
2023-01-13 20:12:00,-2818103284,5024,75,Occasional Travellers
2023-01-13 08:28:00,-2818102071,5043,Y-RES,Residents
2023-01-13 18:24:00,-2818100739,-1,75,Occasional Travellers
2023-01-13 13:47:00,-2818097980,5001,75,Occasional Travellers
2023-01-13 10:30:00,-2818097704,5001,Y-RES,Residents
2023-01-14 04:09:00,-2818092258,5031,Y-RES,Residents
2023-01-13 14:36:00,-2818081646,5028,75,Occasional Travellers
2023-01-14 09:31:00,-2818081329,5001,75,Occasional Travellers
2023-01-14 17:45:00,-2818079900,5042,Y-RES,Residents
2023-01-13 16:00:00,-2818079326,5001,75,Occasional Travellers
2023-01-13 08:15:00,-2818078899,-2,75,Occasional Travellers
2023-01-13 07:42:00,-2818077286,5036,Y-RES,Residents
2023-01-14 16:00:00,-2818072925,5053,75,Occasional Travellers
2023-01-14 13:16:00,-2818072142,5043,75,Occasional Travellers
2023-01-13 09:24:00,36369992883770116,-1,75,Occasional Travellers
2023-01-13 19:48:00,36423077214251012,-1,75,Occasional Travellers
2023-01-14 09:03:00,36427556727031812,-3,75,Occasional Travellers
2023-01-14 08:00:00,37214417943030788,5128,75,Occasional Travellers
2023-01-14 15:57:00,37267502129174788,-2,75,Occasional Travellers
2023-01-13 09:07:00,40551645786508804,5032,D-2,Tourists
2023-01-14 15:00:00,40551645787292676,5133,D-3,Tourists
2023-01-13 22:00:00,40551645791309572,-2,D-2,Tourists
2023-01-13 23:00:00,40552757653044996,5043,75,Occasional Travellers
2023-01-14 13:12:00,40552758051126532,5075,75,Occasional Travellers
2023-01-14 10:45:00,40553391833007364,-3,75,Occasional Travellers
2023-01-13 23:01:00,40553391836791556,5031,75,Occasional Travellers
2023-01-14 12:46:00,40553620936184580,5013,D-2,Tourists
2023-01-14 14:21:00,40553620945833476,5119,D-1,Tourists
2023-01-14 13:51:00,40553620945875460,5096,D-1,Tourists
2023-01-14 15:26:00,40553620945904900,5064,D-1,Tourists
2023-01-14 09:04:00,40553621071565060,5051,D-2,Tourists
2023-01-13 08:48:00,40553621335814404,5039,75,Occasional Travellers
2023-01-14 17:09:00,40553621478998788,5113,D-1,Tourists
2023-01-14 11:00:00,40553621482395652,5055,D-2,Tourists
2023-01-14 15:39:00,40553621483419140,5132,D-3,Tourists
2023-01-14 19:00:00,40553621484190212,5039,D-3,Tourists
2023-01-13 15:48:00,40834180822941188,-2,75,Occasional Travellers
2023-01-14 20:00:00,40834225105870340,5039,D-2,Tourists
2023-01-13 13:23:00,40834233027538436,5113,D-2,Tourists
2023-01-14 07:00:00,40834233027811076,5075,D-1,Tourists
2023-01-13 00:00:00,40834866809772548,-3,75,Occasional Travellers
2023-01-13 21:03:00,40834866812216836,5047,D-2,Tourists
2023-01-13 03:28:00,40834866813803012,5037,D-3,Tourists
2023-01-14 12:23:00,40834867620536580,5113,D-1,Tourists
2023-01-13 13:33:00,40834867620569348,5191,D-7,Tourists
2023-01-14 17:21:00,40835096054886148,5113,D-1,Tourists
2023-01-13 17:07:00,40835096459294724,-2,75,Occasional Travellers
2023-01-13 13:18:00,41116342597262852,5096,D-1,Tourists
2023-01-14 09:55:00,41678649902613252,5032,75,Occasional Travellers
2023-01-14 14:00:00,41679291733912580,5132,D-3,Tourists
2023-01-14 04:00:00,41679291737079556,5039,75,Occasional Travellers
2023-01-14 09:17:00,41679520838958852,5028,D-1,Tourists
2023-01-14 18:35:00,41679520839557892,5040,D-2,Tourists
2023-01-14 14:53:00,41679521378594052,5031,D-1,Tourists
2023-01-14 08:59:00,41679521379877636,5040,D-2,Tourists
2023-01-13 01:00:00,41960767511420164,5032,D-1,Tourists
2023-01-14 17:13:00,41960996355849476,5089,D-2,Tourists
2023-01-13 21:10:00,42242242495185412,5024,D-2,Tourists
2023-01-14 16:19:00,65693771586435077,5041,D-2,Tourists
2023-01-14 11:38:00,65693771838159365,-1,75,Occasional Travellers
2023-01-14 17:00:00,65693775350234885,5039,D-1,Tourists
2023-01-13 19:00:00,65693840325308677,5040,D-1,Tourists
2023-01-14 19:40:00,65693840953471749,-3,75,Occasional Travellers
2023-01-14 10:28:00,65693841480384261,5060,D-1,Tourists
2023-01-13 12:03:00,65693842014498821,5113,D-1,Tourists
2023-01-14 16:41:00,65693843634222853,5003,D-3,Tourists
2023-01-13 11:52:00,65694179094657285,5011,D-1,Tourists
2023-01-14 15:46:00,65694179904747013,5096,D-1,Tourists
2023-01-14 21:00:00,65694180697864965,5013,D-2,Tourists
2023-01-13 11:46:00,65694181229885957,5114,D-1,Tourists
